Country Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,96.82263947,,,,,,,,97.80741882,,97.98999786,
Africa Eastern and Southern,61.97698975,62.43222046,63.04637146,63.66257858,65.8645401,67.39182281,68.44510651,68.82797241,69.28249359,70.05960083,69.99945068,70.42024994,71.5740509,71.88990784,
Afghanistan,,,,,31.44885063,,,,,,,,,,37.2660408
Africa Western and Central,50.26028061,49.80102921,50.88328934,51.34383011,51.95272827,52.60353851,53.14498901,54.1866188,54.97917938,55.56496811,56.60425186,59.61927032,60.17866135,60.23498917,
Angola,,,,,,,,66.03011322,,,,,,,72.27999878
Albania,,95.93863678,,,96.84529877,97.24697113,,,,,,98.14115143,,,98.44999695
Andorra,,,,,,,,,,,,,,,
Arab World,68.43212891,69.43845367,68.10904694,69.06881714,70.86891937,74.35066223,73.92195129,76.12545013,73.55156708,74.92640686,75.8427124,72.94586182,73.18887329,73.58918762,
United Arab Emirates,,,,,,,,,,,,,95.52648163,,98.12635803
Argentina,,,98.98342133,98.95497131,99.10832977,99.10523224,99.12194824,98.99388885,99.17996216,99.12500763,,99.0038681,,,
Armenia,,,,,99.74440765,,,,,99.74440765,99.73606873,,,99.78861237,
American Samoa,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,98.94999695,,,,98.94999695,,,,,,
Australia,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,
Azerbaijan,99.59319305,,99.75984192,99.77114105,99.77863312,99.77577209,99.78936005,99.78898621,99.78806305,99.79006195,99.79122925,,99.79598236,,
Burundi,,48.08406067,,,,,,61.51348877,,,68.37532806,,,,74.70999908
Belgium,,,,,,,,,,,,,,,
Benin,,,,,,32.94881821,,,,,,42.36240005,,,45.84000015
Burkina Faso,28.29365921,,,,,,,34.59939957,,,,39.3458519,,,46.04000092
Bangladesh,46.66360092,,,,58.7691803,57.86074829,61.01554108,61.09329987,65.1373291,72.7587204,72.89296722,73.91220093,74.6844635,74.9088974,
Bulgaria,,,,,98.35244751,,,,,,,,,,98.41999817
Bahrain,,,,90.97740173,92.30000305,,,,,,,,,,
"Bahamas, The",,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,98.14203644,,96.99176788,,,,,,,,98.09999847
Belarus,,,99.6170578,,,,,,,,,,99.87400055,,
Belize,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,
Bolivia,90.74346924,90.69811249,91.16783142,,92.22615051,94.46057129,,,92.45507813,,,,,93.85256195,
Brazil,90.0093689,90.03662109,90.29821014,90.37918091,91.41123962,91.33785248,91.48423767,91.72943115,92.04789734,92.80844116,93.07582092,93.22750092,,,94.30000305
Barbados,,,,,,,,99.59999847,,,,,,,
Brunei Darussalam,,,,,96.08556366,,,,,,,97.21411133,,,97.58999634
Bhutan,,,,,,55.31755829,,,,,66.5611496,,,,70.94999695
Botswana,,,,,,,86.82318115,,,,,,,,
Central African Republic,,,,36.75260925,,,,,,,,37.39582062,,37.49000168,
Canada,,,,,,,,,,,,,,,
Central Europe and the Baltics,98.85414886,98.90093231,99.13604736,99.17223358,99.20523834,99.22561646,99.23651123,99.25499725,99.27243805,99.29685211,99.31336975,99.32743073,99.34319305,99.35739899,
Switzerland,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,
Chile,,97.72245026,97.66423035,,96.70301056,,96.26705933,,96.87413025,,96.40228271,,,,97.04000092
China,,,,95.1244812,,,,,,,,96.84088898,,97.15000153,
Cote d'Ivoire,,,,,,40.98162842,,43.90842056,,,,,89.89341736,,
Cameroon,70.67993927,,,71.29051208,,,,,,,,77.07103729,,78.23000336,
"Congo, Dem. Rep.",61.20555115,,,,,75.01718903,,,,77.04267883,,,,,80.01999664
"Congo, Rep.",,,,,79.31117249,,,,,,,80.29875946,,,80.61000061
Colombia,92.6517868,93.37818146,93.24468994,93.37232971,93.58052826,,,94.18624878,94.24504852,94.65384674,,95.09250641,95.24926758,95.63632965,
Comoros,,,,,,49.19614029,,,,,,58.81702042,,,61.99000168
Cabo Verde,,,,,,85.32778931,,,86.79029083,,,,,,90.77999878
Costa Rica,,,,,97.40657806,,,,,,,97.86379242,,,98.04000092
Caribbean small states,90.27494049,90.52310181,90.73297882,90.80419922,90.85920715,90.73217773,90.65540314,90.66783905,90.78756714,,,,,,
Cuba,,,,,,99.75253296,,,,,,,,,99.67311096
Curacao,,,,,,,,,,,,,,,
Cayman Islands,98.86782074,,,,,,,,,,98.86782074,,,,98.86782074
Cyprus,,,,,98.67842865,,,,,,,,,,99.36000061
Czechia,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,
Dominican Republic,88.24446106,,,89.53872681,90.10637665,90.15518188,90.85814667,91.76376343,91.99121094,93.77845764,,,,,95.16999817
Algeria,,75.13604736,,,,,,,,,,81.40783691,,,
East Asia & Pacific (excluding high income),93.89996338,94.13134003,94.44586945,94.53077698,94.37229156,94.58950043,94.68592834,95.0980072,95.30786896,95.46404266,95.64930725,95.70745087,96.11556244,96.268013,
Early-demographic dividend,72.0298996,73.25747681,74.09941864,75.24230194,75.24359894,75.87638092,76.37799835,77.19602203,77.91124725,78.53462219,78.95726776,79.14875031,79.96681976,80.36566162,
East Asia & Pacific,93.5821991,93.84104156,94.15556335,94.17209625,93.97158813,94.20420837,94.30593872,94.79815674,95.01451874,95.17617035,95.36701202,95.43128967,95.86206055,96.01457977,
Europe & Central Asia (excluding high income),97.54872131,97.55384827,98.05924225,98.37638092,98.6343689,98.76773071,98.81713104,98.84879303,98.87792206,99.00218964,99.00428009,99.04042053,99.11755371,99.14138031,
Europe & Central Asia,97.12386322,97.15885162,97.40518188,97.56700897,97.70388031,97.80539703,97.87165833,97.91472626,97.95932007,98.04750061,98.09268951,98.14884186,98.20648193,98.25228882,
Ecuador,92.0967865,92.3900528,92.24976349,91.85404205,91.5868988,92.06472778,93.29463196,94.22264099,94.45565796,94.35022736,92.82978821,,,93.62609863,94.48358917
"Egypt, Arab Rep.",,,,72.04785156,,73.86559296,72.44249725,,,,71.16825104,,,,73.08999634
Euro area,,,,,,,,,,,,,,,
Eritrea,,64.6629715,,,,,,,,,,76.57051849,,,
Spain,97.93884277,97.6306076,97.67926788,97.74890137,97.78375244,97.89453888,98.07913208,98.09371948,98.14325714,98.25051117,,98.43650055,,98.59445953,
Estonia,,,,,99.88578796,,,,,,,,,,99.87000275
Ethiopia,38.99597931,,,,,,,,,,51.7711792,,,,
European Union,,,,,,,,,,,,,,,
Fragile and conflict affected situations,61.77381134,61.65021896,61.30495071,61.58929825,61.49845123,63.06097031,63.47185135,64.25849152,63.29774857,65.07672882,65.81365967,64.17391968,65.13777161,65.08299255,
Finland,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,
Gabon,,,,,,82.28379822,,,,,,84.66716003,,,85.45999908
United Kingdom,,,,,,,,,,,,,,,
Georgia,,,,,,,,99.58618927,,,99.36425781,,99.55844116,,
Ghana,,,,71.49707031,,,,,,,,79.03964233,,80.37999725,
Gibraltar,,,,,,,,,,,,,,,
Guinea,,,,25.30773926,,,,32.0038414,,,,39.6176796,,,45.33000183
"Gambia, The",,,,,,,41.95005035,,50.77796936,,,,,,58.06000137
Guinea-Bissau,,,,,,,,45.5811615,,,,,,,52.88999939
Equatorial Guinea,,,,94.3705368,,,,,,,,,,,
Greece,93.93154907,,93.90511322,,97.36873627,,,,,,,97.93595123,,,
Grenada,,,,,,,,98.59999847,,,,,,,
Greenland,,,,,,,,,,,,,,,
Guatemala,,,,,,78.26486206,77.0386734,81.2858963,,,,80.81067657,,,83.34999847
Guam,,,,,,,,,,,,,,,
Guyana,,,84.99401093,,,,,85.63973236,,,,,,,88.84999847
High income,,,,,,,,,,,,,,,
"Hong Kong SAR, China",,,,,,,,,,,,,,,
Honduras,83.58898926,,,84.75536346,85.12329865,85.35555267,85.4644165,87.19753265,87.90682983,88.98748016,,87.20523834,88.50743103,,
